strike,moneyness,expiry,days_to_expiry,time_to_expiry,option_type,mid_price,spot,volume,openInterest,implied_vol
345.0,1.276997350094044,2026-05-15,16,0.0438356164383561,call,0.03,270.1650085449219,2.0,1258,0.4305028625019083
350.0,1.2955045580664215,2026-05-15,16,0.0438356164383561,call,0.025,270.1650085449219,15.0,12222,0.4448776802969533
190.0,0.7032739029503431,2026-05-15,16,0.0438356164383561,put,0.05,270.1650085449219,7.0,3187,0.6577271681952275
195.0,0.7217811109227206,2026-05-15,16,0.0438356164383561,put,0.06,270.1650085449219,70.0,2172,0.6264327945826416
200.0,0.7402883188950979,2026-05-15,16,0.0438356164383561,put,0.07,270.1650085449219,9.0,5524,0.5931991385410094
205.0,0.7587955268674754,2026-05-15,16,0.0438356164383561,put,0.095,270.1650085449219,4.0,2583,0.5707051708819652
210.0,0.7773027348398529,2026-05-15,16,0.0438356164383561,put,0.125,270.1650085449219,391.0,10527,0.5459818202173994
215.0,0.7958099428122304,2026-05-15,16,0.0438356164383561,put,0.16,270.1650085449219,57.0,6290,0.5190416755980543
220.0,0.8143171507846078,2026-05-15,16,0.0438356164383561,put,0.2,270.1650085449219,51.0,10126,0.4899680842938954
225.0,0.8328243587569852,2026-05-15,16,0.0438356164383561,put,0.265,270.1650085449219,102.0,5375,0.4648957573059653
230.0,0.8513315667293627,2026-05-15,16,0.0438356164383561,put,0.345,270.1650085449219,139.0,25503,0.4379096215042117
235.0,0.8698387747017401,2026-05-15,16,0.0438356164383561,put,0.47,270.1650085449219,215.0,14221,0.4139525027532026
240.0,0.8883459826741176,2026-05-15,16,0.0438356164383561,put,0.65,270.1650085449219,2817.0,20778,0.3906670200891939
245.0,0.906853190646495,2026-05-15,16,0.0438356164383561,put,0.955,270.1650085449219,959.0,14438,0.3726391185135373
247.5,0.9161067946326836,2026-05-15,16,0.0438356164383561,put,1.165,270.1650085449219,282.0,691,0.3644331291352767
250.0,0.9253603986188724,2026-05-15,16,0.0438356164383561,put,1.43,270.1650085449219,1458.0,25541,0.3571667346988474
252.5,0.9346140026050612,2026-05-15,16,0.0438356164383561,put,1.76,270.1650085449219,827.0,3087,0.3506627662542384
255.0,0.94386760659125,2026-05-15,16,0.0438356164383561,put,2.165,270.1650085449219,1603.0,7960,0.3447253807938498
257.5,0.9531212105774388,2026-05-15,16,0.0438356164383561,put,2.655,270.1650085449219,521.0,338,0.339177237889189
260.0,0.9623748145636274,2026-05-15,16,0.0438356164383561,put,3.2750000000000004,270.1650085449219,1546.0,14517,0.3357447327525436
262.5,0.971628418549816,2026-05-15,16,0.0438356164383561,put,4.0,270.1650085449219,27.0,650,0.3322028697480584
265.0,0.9808820225360048,2026-05-15,16,0.0438356164383561,put,4.85,270.1650085449219,659.0,7171,0.3290754502574927
267.5,0.9901356265221936,2026-05-15,16,0.0438356164383561,put,5.825,270.1650085449219,190.0,691,0.3259517941885091
270.0,0.9993892305083822,2026-05-15,16,0.0438356164383561,put,6.95,270.1650085449219,688.0,14526,0.3236770265329914
272.5,1.008642834494571,2026-05-15,16,0.0438356164383561,put,8.275,270.1650085449219,49.0,642,0.3242977373019997
275.0,1.0178964384807598,2026-05-15,16,0.0438356164383561,put,9.675,270.1650085449219,106.0,2674,0.3223012903430434
277.5,1.0271500424669484,2026-05-15,16,0.0438356164383561,put,11.275,270.1650085449219,3.0,45,0.323511001352871
280.0,1.0364036464531372,2026-05-15,16,0.0438356164383561,put,12.95,270.1650085449219,49.0,13155,0.3225077604465164
282.5,1.045657250439326,2026-05-15,16,0.0438356164383561,put,14.575,270.1650085449219,3.0,72,0.312617738521787
